Year,Mean,Uncertainty
1979,336.78,0.12
1980,338.68,0.12
1981,340.1,0.12
1982,341.44,0.12
1983,343.03,0.12
1984,344.58,0.12
1985,346.04,0.12
1986,347.39,0.12
1987,349.16,0.12
1988,351.56,0.12
1989,353.07,0.12
1990,354.35,0.12
1991,355.57,0.12
1992,356.38,0.12
1993,357.07,0.12
1994,358.82,0.12
1995,360.8,0.12
1996,362.59,0.12
1997,363.71,0.12
1998,366.65,0.12
1999,368.33,0.12
2000,369.52,0.12
2001,371.13,0.12
2002,373.22,0.12
2003,375.77,0.12
2004,377.49,0.12
2005,379.8,0.12
