Year,CSIRO - Adjusted sea level (inches),CSIRO - Lower error bound (inches),CSIRO - Upper error bound (inches),NOAA - Adjusted sea level (inches)
1979,5.362204719,5.098425192,5.625984246,
1980,5.598425191,5.34251968,5.854330703,
1981,6.086614167,5.830708655,6.342519679,
1982,5.858267711,5.610236215,6.106299206,
1983,6.188976372,5.93307086,6.444881883,
1984,6.153543301,5.905511805,6.401574797,
1985,5.74803149,5.499999994,5.996062986,
1986,5.771653537,5.523622042,6.019685033,
1987,5.795275585,5.551181097,6.039370073,
1988,5.980314955,5.732283459,6.22834645,
1989,6.157480309,5.905511805,6.409448812,
1990,6.232283458,5.972440939,6.492125978,
1991,6.334645663,6.074803143,6.594488182,
1992,6.35826771,6.094488183,6.622047237,
1993,6.291338576,6.027559049,6.555118104,6.297493046
1994,6.499999993,6.236220466,6.763779521,6.310933553
1995,6.618110229,6.354330702,6.881889757,6.452568661
1996,6.787401568,6.523622041,7.051181095,6.62763131
1997,7.066929127,6.803149599,7.330708654,6.733920367
1998,6.665354324,6.393700781,6.937007867,6.865806069
1999,7.011811016,6.736220466,7.287401567,6.848689771
2000,7.062992119,6.791338576,7.334645662,6.920582014
2001,7.287401567,7.019685032,7.555118103,7.087460011
2002,7.381889756,7.110236213,7.653543299,7.319697525
2003,7.759842512,7.484251961,8.035433063,7.488352718
2004,7.740157472,7.464566922,8.015748023,7.507932839
2005,7.74409448,7.472440937,8.015748023,7.644563144
2006,7.917322827,7.645669284,8.18897637,7.697420009
2007,7.996062984,7.712598417,8.279527551,7.70214715
2008,8.350393692,8.078740149,8.622047235,7.90736541
2009,8.586614164,8.311023614,8.862204715,8.04635409
2010,8.901574794,8.618110227,9.185039361,8.122972567
2011,8.96456692,8.661417314,9.267716526,8.053065004
2012,9.326771644,8.992125975,9.661417313,8.457057629
2013,8.980314951,8.622047235,9.338582668,8.546648227
